SYMBOL	treatments
CYP1B1	cyclophosphamide:24599932;24958282| ANASTROZOLE:18256205| FADROZOLE:18256205| EXEMESTANE:18256205| amodiaquine:-| risperidone:-| ISOPROPANOL, ISOPROPYL ALCOHOL:6409434| MEDROXYPROGESTERONE ACETATE, MEDROXYPROGESTERONE:10764452| ADJUVANT:7787697| LETROZOLE:18256205| RIFAMPIN, RIFAMPICIN:6854335| FORMESTANE:18256205| fluorouracil:24958282| TOREMIFENE:8262671| AMINOGLUTETHIMIDE:18256205| SPIRONOLACTONE:7079590| doxorubicin:-
CYP20A1	MANNOMUSTINE, MBC:9347928
CYP24A1	deferasirox:29099735;29160302| telaprevir:26158282| VITAMIN D:15225763| daclatasvir:29790402
CYP27A1	cholic acid:-| HORMONES:12597773| CHOLESTYRAMINE:12011083| URSODIOL, URSODEOXYCHOLIC ACID:12011083| RETINOID, ETRETINATE:15340076| PHYTOSTEROLS:11398149
CYP27B1	peginterferon alfa-2a:28453395| SOY PROTEIN:12421875| deferasirox:30651574| 5-AZA-2&APOS;-DEOXYCYTIDINE, DECITABINE:15860259| rifampin:28594304| TRICHOSTATIN A, TRICHOSTATIN:15860259| INTERFERON GAMA-1B, INTERFERON GAMMA:12055341
CYP2A13	nicotine:29342418| coumarin:29342418
CYP2A6	docetaxel:19604090| caffeine:15980104| cotinine:-| artemisinin:-| acetaminophen:11866476;26049587;9548799| esomeprazole:-| artesunate:-| bupropion:26132489| Drugs used in nicotine dependence:26132489| letrozole:19845430;21494765;21975350;30094551| varenicline:25588294| coumarin:10544257;11278503;11394901;11779172;12325023;12844137;14583682;15900015;15993850;16041240;16679388;21521021;27339126;9409631;9827545| pilocarpine:18698229| valproic acid:20089352
CYP2B6	nicotine:17015050;18004205;25652250| TESTOSTERONE:10630892| carbamazepine:21738081| (S)-methadone:17178267;30907440| TROFOSFAMIDE:10447581| efavirenz / emtricitabine / tenofovir disoproxil:-| isoniazid:28389387| O6-BENZYLGUANINE, 6-O-BENZYLGUANINE:7503788| busulfan:24165757| sertraline:26830411| artemisinin:-| mirtazapine:22926595| CYCLOPHOSPHAMIDE:15746054,15228172,8242617,15919850| BICALUTAMIDE:9622849| (R)-methadone:30907440| ospemifene:-| flibanserin:-| sorafenib:28362716| pyrazinamide:28389387| tramadol:24849324| COLCHICINE:12815172| CARBAMAZEPINE:14977870| 3,4-methylenedioxymethamphetamine:28117133| ethambutol:28389387| levonorgestrel:-| HGF:9454825| mitotane:23524664| rifampin:27053325;28389387| EFAVIRENZ:17041008| PHENOBARBITAL:14977870| imatinib:24293093| RITONAVIR:14977870| prasugrel:21828263| Antivirals for treatment of HIV infections, combinations:22162992| NEVIRAPINE:17041008| cotinine:18004205| Drugs For Treatment Of Tuberculosis:22162992| arteether:-
CYP2C18	warfarin:23327576
CYP2C19	methylphenobarbital:15499191| ambrisentan:25286744| phenprocoumon:21636598| desmethyl clomipramine:28470111| efavirenz:-| simvastatin:-| icotinib:22585284;25995169| clozapine:19593168;28664816| formoterol:-| leflunomide:19581389| lovastatin:-| etravirine:23111422| drospirenone / ethinyl estradiol:-| thalidomide:31124417| doxepin:12360109;23486447| nevirapine:21860339| atorvastatin:24140730| fluorouracil:-| labetalol:23090703| oxazepam:-| n-desmethylclozapine:28664816| temazepam:-| antidepressants:15168101;27023676| trimipramine:10774635;14520122;23486447| ibuprofen:25502615| hmg coa reductase inhibitors:-| quetiapine:25025989| risperidone:25042870| moclobemide:-| dexlansoprazole:-| doxorubicin:20179710;29938344| phenobarbital:23551241| flibanserin:-| atazanavir:-| lacosamide:-| brivaracetam:24717838| tolbutamide:10022751;10411572;21325430| iguratimod:29517409| 3,4-methylenedioxymethamphetamine:28117133| rucaparib:-| nelfinavir:16267764;25752914| flunitrazepam:-| proguanil:10471063| fluvastatin:-| tolterodine:-| simeprevir:-
CYP2C8	mycophenolate mofetil:24681964| montelukast:28940478| RIFAMPIN, RIFAMPICIN:15771232| Calcineurin inhibitors:23426640| carbamazepine:21738081| lovastatin:-| cerivastatin:15365880; 20739906; 21386754;11844864| pazopanib:25504632| tacrolimus:18769365;23426640;28316087| atorvastatin:-| fluorouracil:-| simvastatin:25504632| mycophenolic acid:22572835;21107304;24220207| zoledronate:18594024| ibuprofen:15606441; 18216720; 18694831; 19480553;15289789;18694831;19480553;25502615;26122864;30562214| pamidronate:18594024| repaglinide:15961978; 16390351; 18388877; 21270106;14534525;17923851| hmg coa reductase inhibitors:-| flibanserin:-| sorafenib:28362716| TRIMETHOPRIM:15606443| rucaparib:-| diclofenac acyl glucuronide:29203276| fluvastatin:-| simeprevir:-
CYP2C9	tenoxicam:15229460;18992346| brivaracetam:-| ANTIPSYCHOTIC AGENT:8866916| zafirlukast:27377818| lamotrigine:28343093| trimipramine:14520122| antiepileptics:-| lovastatin:-| zidovudine:22960662| lornoxicam:15764711;16182270;16342679| benzbromarone:20962433;25876828| pioglitazone:28099407| busulfan:24165757| olanzapine:23559402| WARFARIN:15050794| atorvastatin:-| dronabinol:-| Antiinflammatory agents, non-steroids:17681167| diclofenac:17681167;20814155;23400009;23959274;25994031;8417277| 4-hydroxycyclophosphamide:18496131;12684728| doxepin:12360109| meloxicam:24322170;9493314| erdafitinib:-| rosiglitazone:-| propofol:24891132| carbamazepine:28343093| gliquidone:24442125| avatrombopag:-| ospemifene:-| hmg coa reductase inhibitors:-| gefitinib:24433361| siponimod:-| indomethacin:12876643| nateglinide:22842957| flibanserin:-| esomeprazole:-| sorafenib:28362716| fluconazole:26886310| glipizide:10208645;24442125| cyclophosphamide:18496131;12684728;26894931| NAPROXEN:14691574| rucaparib:-| flurbiprofen:12698304;25712887| nevirapine:-| diazepam:22641027| hormonal contraceptives for systemic use:28750087| tolterodine:-| lesinurad:-| primidone:28343093
CYP2D6	amphetamine:-| acetaminophen / codeine:-| GINKGO, GINKGO BILOBA:17611934| terbinafine:-| bepridil:16508157| cevimeline:-| 3,4-methylenedioxymethamphetamine:-| acetaminophen:11095574;17564651;19219744;19308365;26049587| umeclidinium / vilanterol:-| vortioxetine:-| desipramine:10460069;10895986;11417443;11682257;12360109;1346258;14520122;14646691;14652703;14716707;15115913;15205367;15252821;16024198;16361630;16871470;17008819;17667959;17721180;18359183;20531370;23486447;27440861;3356084;3533565;3769385;6488689;8181196;8422746;8867869;8941025;9049581;9585799;9918137| mexiletine:1958440| flibanserin:-| valbenazine:-| MODAFINIL:10820139| opioids:17986163| yohimbine:15289791| flupenthixol:-| sertindole:-| STREPTOZOTOCIN:6305526| morphine:17986163;19523031;8351162| MEXILETINE:9806111| AMPHETAMINE:9264312| cariprazine:-| propafenone:12421483;14653957;17001296;17460029;2713973| ciprofloxacin:27469576| formoterol:-| colchicine:25645282| desvenlafaxine:29327975| aspirin:-| umeclidinium:-| oxymorphone:-| mianserin:14652703;1527229;8062494;9408809| sparteine:10471060;15618746;17001296;17460029;1844820;18784265;2211621;7845481;8287064;8530011;8563771;8655150;8946471;9089660;9241659;9511177| Selective serotonin reuptake inhibitors:26871771| lovastatin:22281720| noroxymorphone:-| granisetron:16551910| METHYLPHENIDATE:10831022| zuclopenthixol:12107620;1927573| nicotine:24611668;26287939| amiodarone:-| quinidine:-| BETA-BLOCKER:15592325| tolperisone:25953735| donepezil:24433464;26952092| GARLIC:15974642| esomeprazole:-| CORTICOTROPIN, ACTH:12571407| paliperidone:-| tetrabenazine:23280482| rucaparib:-| pimozide:23059146;9951426| ranolazine:-| fluphenazine:-| quinine:-| Opium derivatives and expectorants:-| dronedarone:-| ethanol:24611668| hydroxyamitriptyline:-| galantamine:23503455| o-desmethyltramadol:27082504| thioridazine:19604081;2007317| desmethyl clomipramine:28470111| nefazodone:-| arformoterol:-| disopyramide:-| lamotrigine:28343093| pitolisant:-| tropisetron:12065557;12728290| valproic acid:28343093| levomepromazine:19308365;29472872| ritonavir:24433361| ibrutinib:-| vernakalant:-| eletriptan:-| TACROLIMUS:17202802| HYPERICIN:15100173| dextromethorphan / quinidine:-| ketorolac:17986163| aripiprazole lauroxil:-| amoxapine:-| meclizine:-| chlorpromazine:8739822| nebivolol:-| ERLOTINIB:17575239| primidone:28343093| clonidine:-| lofexidine:-| tiotropium:-| VORICONAZOLE:16141569| darifenacin:-| Paracetamol, combinations excl. Psycholeptics (Vicks MediNait Sirup):-| eliglustat:20864621| brexpiprazole:-| fesoterodine:-| deutetrabenazine:-| protriptyline:-| hydrocodone:12920424;16631290;24269714;25621429| carbamazepine:28343093| perphenazine:2743709| HYDROXYCHLOROQUINE:10848718| tamsulosin:-| hmg coa reductase inhibitors:-| quetiapine:16871470;29472872| fluoxetine / olanzapine:-| mirabegron:-| palonosetron:-| antidepressants:10460069;11682257;12360109;1346258;14520122;14646691;14716707;15115913;15116051;15205367;15252821;16024198;16361630;16871470;17008819;17667959;17721180;18359183;20531370;27023676;8181196;8867869;8941025;9585799;9918137| ALBUMIN, ALBUMIN HUMAN:11246175| trimipramine:10460069;10774635;11682257;12360109;1346258;14520122;14646691;14716707;15115913;15205367;15252821;1527229;16024198;16361630;16871470;17008819;17667959;17721180;18359183;20531370;23486447;8181196;8867869;9585799;9918137| atorvastatin:17700359| modafinil:-| bromazepam:-| hydromorphone:17986163| chlorpheniramine:11994058| phenytoin:24915025;28343093| perhexiline:6694182| promethazine:17986163
CYP2E1	CHLORPROMAZINE:15135088| fludarabine:22584460| NSAIDS:9574817| TOTAL PARENTERAL NUTRITION, SODIUM beta-NICOTINAMIDE ADENINE DINUCLEOTIDE PHOSPHATE:14744944| acetaminophen:11866476;18695978;19219744;23462933;26049587;8659683;9548799| ANTIDEPRESSANTS:9574817| zidovudine:22960662| CIPROFLOXACIN:15194011| ISOFLAVONE:15056880| risperidone:-| pyridoxal phosphate:16770646| idarubicin:22584460| RITONAVIR:9278209| theophylline:16841220| ADJUVANT:7787697| gemtuzumab ozogamicin:22584460| PERFLUBRON, PERFLUOROOCTYLBROMIDE:8399771| esomeprazole:-| COBALT:8577819| BENZODIAZEPINE:9574817| POLYETHYLENE GLYCOL:10634315| 5-FU, FLUOROURACIL:12904931| VALERIAN:15900287| cytarabine:22584460
CYP2F1	imatinib:30237583
CYP2J2	terfenadine:15861034| albendazole:19923256| diclofenac:15861034| amiodarone:19923256| danazol:19923256| astemizole:15861034| mesoridazine:19923256| nabumetone:19923256| daunorubicin:26230641| doxorubicin:26230641| thioridazine:19923256| tacrolimus:28316087
CYP2R1	peginterferon alfa-2b:-| calcidiol:26661839| ribavirin:-
CYP3A	cyclosporine:28952408| clozapine:25150845| paclitaxel:16890579| atorvastatin:30595243| atazanavir:22394315| fluorouracil:-| rosuvastatin:30595243| fentanyl:24469018| antipsychotics:25150845| midazolam:25588320| nelfinavir:-| ritonavir:25923589| cyclophosphamide:-| doxorubicin:-| lumefantrine:-| efavirenz:15622315;16267764| tacrolimus:20818295;27314545;29318894| atazanavir / ritonavir:31124411
CYP3A4	tamsulosin:9187528| theophylline:9187528| vilazodone:21951984| sunitinib:17825686;24566734;26810136| METHOXSALEN, 8-MOP:17003103| indinavir:9187528| losartan:9187528| dolutegravir:-| omeprazole:9187528| sildenafil:28440343| VALERIAN:17214607| imipramine:9187528| olanzapine:23559402| HYDROXYUREA:17180388| terfenadine:9187528| CLOZAPINE:17504220| artemisinin:-| amitriptyline:9187528| DEXTROMETHORPHAN:12151071| clonazepam:9187528| budesonide:9187528| flibanserin:-| NICOTINE:12851153| dextromethorphan:9187528| quinidine:11353757;9187528| (S)-methadone:17178267| erythromycin:23327575;9187528| phenytoin:28343093| lumefantrine:-| methoxyflurane:9187528| TROPISETRON:8013282| diltiazem:9187528| flunitrazepam:-| miconazole:9187528| mianserin:9187528| LIGNOCAINE, LIDOCAINE:9832299| VESNARINONE:9630823| ivabradine:-| sevoflurane:9187528| prednisolone:9187528| RISPERIDONE:17337319| felbamate:9187528| fosamprenavir:-| felodipine:9187528| telithromycin:-| ondansetron:9187528| nelfinavir:-| sufentanil:29926893| lovastatin:-| pazopanib:22341567| METRONIDAZOLE:17374625| saquinavir:9187528| ISOFLAVONE, ISOFLAVONES:16380645| ranolazine:9187528| clarithromycin:9187528;9951426| verapamil:9187528| mephenytoin:9187528| EFAVIRENZ:16176117| ROXITHROMYCIN:16416302| NIFEDIPINE:17655375| paroxetine:-| chlorzoxazone:9187528| zolpidem:9187528| SIMVASTATIN:18302447| artemether:-| esomeprazole:-| desloratadine:9187528| sorafenib:28362716| tramadol:24849324| astemizole:9187528| hydrocortisone:9187528| nicardipine:9187528| rucaparib:-| diazepam:9187528| rifampin:24839948| clomipramine:9187528| trimethoprim:9187528| doxepin:-| CLARITHROMYCIN:17635500| flutamide:9187528| methadone:21902501;27286724;9187528| PIOGLITAZONE:16447051| granisetron:9187528| dronedarone:-| MICAFUNGIN:16205037| ruxolitinib:-| zonisamide:9187528| lamotrigine:28343093| FENTANYL:17987285| nateglinide:-| IXABEPILONE:18451235| proguanil:9187528| AMOXICILLIN:12152002| clozapine:23297297| vindesine:9187528| ATORVASTATIN:17200431| dapsone:9187528| triazolam:-| valproic acid:28343093| GENISTEIN:16380645| desipramine:-| testosterone:9187528| toremifene:9187528| ketoconazole:9187528| vemurafenib:23116250| lidocaine:9187528| ETHER:18427905| sulfinpyrazone:9187528| CHLORAMPHENICOL:14576103| sertraline:9187528| fluvastatin:16103896| vinblastine:9187528| ropivacaine:9187528| cisapride:9187528| LOVASTATIN:18302447,17655375| MACROLIDES, TYLOSIN:12814973| MAO INHIBITORS:16669850| tipranavir:-| mifepristone:9187528| erlotinib:-| 5-FU, FLUOROURACIL:12904931| TRICHOSTATIN A, TRICHOSTATIN:12695546| dorzolamide:9187528| prasugrel:21828263| alprazolam:-| darunavir:-| TOREMIFENE:9871429| selegiline:9187528| primidone:28343093| arteether:-| METHADONE:12756206| dolasetron:9187528| repaglinide:-| celecoxib:22336956| cabazitaxel:-| PROPRANOLOL:14744938| PRAVASTATIN:17615423| tropisetron:9187528| DOXORUBICIN:15465924| boceprevir:-| ERIBULIN MESYLATE, E7389:18431572| oxazepam:-| telaprevir:-| sertindole:9187528| temazepam:-| enalapril:9187528| fluoxetine:-| RESERPINE:11743742| amiodarone:9187528| ibuprofen:25502615| mycophenolic acid:24220207| itraconazole:9187528| sulfamethoxazole:9187528| ethosuximide:9187528| cocaine:9187528| IMMUNOSUPPRESSIVE:17571057| posaconazole:-| fluticasone propionate:-| propafenone:9187528| ritonavir:9187528| IMATINIB:18094422| AMIODARONE:16537817| OMEPRAZOLE:9395520| benzphetamine:9187528| codeine:9187528| atazanavir:22394315| trimethadione:9187528| quinine:9187528| AMPHOTERICIN B:15969931| EPIGALOCATECHIN GALLATE, EGCG:17108060| sulfadiazine:9187528| VASOPRESSIN:18431272| tolterodine:-| simeprevir:-
CYP3A43	clozapine:25150845| haloperidol:25150845| risperidone:25150845| ticagrelor:25935875| CHLORZOXAZONE:11736864| antipsychotics:25150845| KETOCONAZOLE:15991489| quetiapine:25150845| SHO-SAIKO-TO:14713367| POMEGRANATE JUICE:15673597| GINKGO:15901353| aripiprazole:25150845| MELATONIN:11554431
CYP3A5	apixaban:28678049;29457840| rifampin:18695978| tretinoin:18695978| imatinib:27426203;28330783;29427770| dolutegravir:-| meloxicam:18695978| ATROPINE:2128054| omeprazole:18695978| cabazitaxel:27020167| olanzapine:23559402| terazosin:18695978| nifedipine:22875663| tadalafil:18695978| sertraline:18695978| itraconazole:-| atazanavir / ritonavir:31124411| ethinyl estradiol:18695978| ketoconazole:-| ondansetron:21596874| ziprasidone:18695978| clindamycin:18695978| hydromorphone:18695978| hydrocodone:18695978| pantoprazole:18695978| alprazolam:18695978| propoxyphene:18695978| isotretinoin:18695978| cyclobenzaprine:18695978| zolpidem:-| fluoxetine:18695978| trazodone:18695978| carboplatin:26179145| clarithromycin:18695978| progesterone:18695978| clomipramine:27800629| quetiapine:18695978;24240480| buspirone:18695978| dextropropoxyphene:20133509| buprenorphine:18695978| paroxetine:-| sildenafil:18695978| artemether:-| fenofibrate:18695978| AMPRENAVIR:16433896| CARBAMAZEPINE:12673034| CYCLOSPORINE, CICLOSPORIN:12673034| esomeprazole:18695978| medroxyprogesterone:18695978| lovastatin:15284534;18695978| meperidine:18695978| PHENYTOIN:12673034| warfarin:18695978| flecainide:22718623| nimodipine:19205682| eszopiclone:18695978| triazolam:-| CAROTENOIDS:15309450| fluticasone propionate:18695978| mirtazapine:18695978| modafinil:18695978| fluconazole:23837476| venlafaxine:18695978| PREDNISOLONE:12673034| (S)-EDDP:18460585| tramadol:18695978| 4-hydroxycyclophosphamide:28976264| tamsulosin:18695978| erlotinib:-| lansoprazole:18695978| felodipine:28244604| montelukast:18695978| prasugrel:21828263| GEFITINIB:17575239| losartan:18695978| arteether:-| granisetron:27809336| hydroxyzine:18695978| cilostazol:-| boceprevir:-| PACLITAXEL:16753005| diazepam:18695978| celecoxib:18695978| SIMVASTATIN:16321621| L-TRIIODOTHYRONINE, LIOTHYRONINE SODIUM:1322573| hmg coa reductase inhibitors:-| mycophenolic acid:24220207| chlorpheniramine:18695978| salmeterol:18695978| ISOPROPANOL, ISOPROPYL ALCOHOL:6409434| vardenafil:21934637| sibutramine:18695978| amiodarone:18695978| loratadine:18695978
CYP3A7	cyclosporine:28952408| HORMONES:6770999| MICONAZOLE:3263862| cortisone acetate:-| QUININE:9863152| WARFARIN:3977899| QUINIDINE:9863152| etonogestrel:30870275| MELATONIN:11882353| tacrolimus:27966227;29318894
CYP4A11	amiloride:-
CYP4B1	thalidomide:20038957| TCDD:2829388| docetaxel:20038957| DEXTRAN SULFATE SODIUM, DEXTRAN SULFATE:15039297
CYP4F2	aspirin:24418943;25712182;28604225;31124413| Vitamin K:19297519;28521079| anthracyclines and related substances:21900104;23441093| Vitamin K antagonists:29273767| ticagrelor:28604225;28806186;31124413
CYP51A1	glibenclamide:27403931| FLUCONAZOLE:12116245
CYP7A1	cholic acid:-
CYP7B1	ADRIAMYCIN:8162589| SAQUINAVIR:12461038| ACETAMINOPHEN:2242029| DIAZOXIDE:8301566| METHIMAZOLE:10053173| SPIRONOLACTONE:976190| MITOMYCIN-C, MITOMYCIN:8162589| STREPTOZOTOCIN:8435090| SAPONIN:9342944| ANTI-DIABETIC AGENT:15207658| GINKGO:15901353| FADROZOLE:14720586| SR 4233, TIRAPAZAMINE:8461036| RESORCINOL, DDD:7587937| LYCOPENE:14640578
CYR61	ANTISENSE OLIGONUCLEOTIDES:18381294| INTERLEUKIN-8, CHEMBL411250:18025257| HYPOTENSIVE AGENTS:12724323
CYSLTR1	zafirlukast:-| TGFBETA1:15316508| montelukast:-| pranlukast:-
DAOA	methamphetamine:19482054| aripiprazole:20471098
DBH	Analgesics:25096645| naltrexone:-| bupropion:22947179| opioids:25096645;29210332| levodopa:24809448| nicotine:15077009| Antiinflammatory agents, non-steroids:25096645| Ergot alkaloids:25096645| disulfiram:-| TESTOSTERONE:824661| sumatriptan:25096645
DBI	HORMONES:9712181
DBP	ALBUMIN, ALBUMIN HUMAN:2331750
DCBLD1	irinotecan:23478653| cisplatin:23478653
DCK	idarubicin:15564883| mitoxantrone:27548009| FMDC, TEZACITABINE:10961690| DEOXYCYTIDINE:10471381,11952160| TETRAHYDROURIDINE:17296311| 2,3-DIDEOXYADENOSINE, CHEMBL23094:3262616| CDA, CLADRIBINE:10606241| lamivudine:-| CLADRIBINE:18570408| ara-CTP:30088438| CAMPTOTHECIN:14973057| daunorubicin:25119182;27548009
DCN	ASCORBATE, ASCORBIC ACID:7944410| HSP70:9292805| RAPAMYCIN, SIROLIMUS:17200203| IFN:12707320
DCP1B	gemcitabine:-
DCT	AMPHOTERICIN B, FUNGIZONE:1492075
DCTD	ara-CTP:30088438
DDC	RAPAMYCIN, SIROLIMUS:16126007| carbidopa:-
DDHD1	warfarin:27488176
DDIT3	MANNITOL:8670069| 6-DIAZO-5-OXO-L-NORLEUCINE:10377266| CELECOXIB:17167033,17166886,15131590,16597647| celecoxib:22336956| DACTINOMYCIN, ACTINOMYCIN D:14635187| NICOTINE:11592233| PENICILLAMINE:11526215| ETOPOSIDE:9044846| MAPK INHIBITORS:15316935| BENZOQUINONE, QUINONE:8794898| DICLOFENAC:15131590| BORTEZOMIB:16357160| RO-31-8220:15327748| INDOMETHACIN:15131590| STAUROSPORINE:17167033| NEUROTROPHIC FACTOR:16716308| PHOTOSENSITIZER:15611953| ANTIOXIDANT:12520757| TOPOISOMERASE INHIBITORS:1727386| DEFEROXAMINE:8794898| TAXOTERE:10470115| PROTEIN SYNTHESIS INHIBITOR:1735464| HYDROGEN PEROXIDE:11145585| ASCORBATE, ASCORBIC ACID:12520757| PLATINUM:8996528| ALPHA-TOCOPHEROL, VITAMIN E:15271854| 6-HYDROXYDOPAMINE:16770736| IL-1:11429163| IBUPROFEN:15131590| CURCUMIN:15271854| FENRETINIDE:12234979,17273769| SURAMIN:9586958| PACLITAXEL, TAXOL:8554977| PEITC:14635187| POLYPHENOL:16463383| HORMONES:12082616| PROTEIN KINASE INHIBITOR:1735464| GLUTAMINE:10377266| STZ, STREPTOZOTOCIN:8482431| N-(4-HYDROXYPHENYL)RETINAMIDE, FENRETINIDE:12138118| ASPIRIN:10688535| CISPLATIN:10071988,8554977| CYCLOSPORINE, CSA:15494209| RAPAMYCIN, SIROLIMUS:11145585| PROTEASOME INHIBITOR:10871842,15994939
DDO	topotecan:24444404
DDR2	ERLOTINIB:22328973| ERLOTINIB:22328973,23932362,18938156| DASATINIB:22328973| DASATINIB:22328973,23932362,18938156
DDX43	SELUMETINIB (AZD6244), SELUMETINIB:24899684| TRAMETINIB:24899684| PD-0325901, PD0325901:24899684
DDX53	gemcitabine:26378035| carboplatin:26378035
DDX58	radiotherapy:-
DEFA1	CORTISOL, HYDROCORTISONE:8353023
DEFA4	CYTOKINES:7619650
DEFA5	VOLANESORSEN SODIUM, SALT:9169780
DES	THROMBIN:3040412| TPA, PHORBOL MYRISTATE ACETATE:7507197
DFFB	CURCUMIN:16013440| CISPLATIN:12927282
DHCR7	cholic acid:-
DHFR	METHOTREXATE, AMETHOPTERIN:9129| FOLIC ACID:10956384| SULFASALAZINE:22555| MTX, METHOTREXATE:14679136,6831441,7057421,1533575| TAMOXIFEN:3978632| 4-HYDROPEROXYCYCLOPHOSPHAMIDE, PERFOSFAMIDE:11162315| Multivitamins, Plain:17413111| ANTIFOLATES:6487372| METHOTREXATE:8162600,6831441,7346712,1489988,944698| VITAMIN B12:3719892| RALTITREXED, TOMUDEX:9816025| MITOMYCIN-C, MITOMYCIN:1332730| ZD1694, RALTITREXED:8698629| ANTITUMOR ANTIBIOTIC:8117738| pemetrexed:23709418;24732178| cyclosporine:-
DHODH	IMMUNOSUPPRESSIVE:7575649| leflunomide:19207032
DHPS	DEOXYSPERGUALIN:11964177
DIABLO	CLADRIBINE:12948851| STAUROSPORINE:14985459,15466201| ANTIOXIDANT:16115949| NM-3:15574755| PHORBOL MYRISTATE ACETATE, PMA:12920112| CEPHALOSTATIN:14695204| HYDROGEN PEROXIDE:16085184,14987999| CASPASE INHIBITOR:12823542,15843890| UCN-01, (7S)-HYDROXYL-STAUROSPORINE:12488556| RESVERATROL:15837718,15469386| TRAIL:10950947,12941843,15137068,12670926
DIAPH3	hydrochlorothiazide:-
DKK1	STANOLONE, DHT:17657240| alendronate:26780085| PROTEASOME INHIBITOR:17910634| LEVOLEUCOVORIN, L-FOLINIC ACID:25788273| IRINOTECAN:25788273| 5-FLUOROURACIL, FLUOROURACIL:25788273| OXALIPLATIN:25788273
DLG4	OPIOID:14667437| HALOPERIDOL:11834303| LEVODOPA, L-DOPA:15703272
DLG5	fluorouracil:-| capecitabine:-
DMD	eteplirsen:-
DMPK	hmg coa reductase inhibitors:-
DNAJB1	HSP70:15047721,16533811,15115283
DNMT1	DIETHYLSTILBESTROL:16598927| HYDROXYUREA:2422298| CISPLATIN:21458988| POLYPHENOL:14633667| 5-FLUORODEOXYURIDINE, FLOXURIDINE:15899874| MITOXANTRONE:12878861| ARSENIC TRIOXIDE:16613325| 5-AZACYTIDINE, AZACITIDINE:6173384| ADRIAMYCIN:16893460| SELENIUM:12949386,16632891| DECITABINE:25968887| FTI:12420225| ZEBULARINE:16239434| TCDD:16598927
DNMT3A	DECITABINE:22124213| warfarin:27740732| Decitabine, DECITABINE:27418649| IDARUBICIN:22081665
DNTT	ACYCLOVIR:16212545| CETUXIMAB, ALPHA INTERFERON:6335218| HYDROXYUREA:291471| GLUCOCORTICOID:6951099| ZALCITABINE, 2&APOS;,3&APOS;-DIDEOXYCYTIDINE:2162699| ZALCITABINE, 2,3-DIDEOXYCYTIDINE:2162699| EHNA, ADA INHIBITOR:7845029
DOCK10	PYROXAMIDE, INTERLEUKIN-4:18499258
DOK5	methotrexate:26590194| cyclophosphamide:26590194| cytarabine:26590194| prednisone:26590194| dexamethasone:26590194| vincristine:26590194| pegaspargase:26590194| thioguanine:26590194| daunorubicin:26590194| doxorubicin:26590194
DPEP1	DEXAMETHASONE:9806799
DPP4	CAPTOPRIL:17531305| TCDD:9924450| ENALAPRIL:16678199
DPP6	haloperidol:27023437
DPYD	BIOMODULATORS, BROMOACETIC ACID:8603452| LEUCOVORIN:11977552,12576451| UFT:11729480| OXALIPLATIN:17127229| 5-FLUOROURACIL, FLUOROURACIL:17179731,11501504| 5-FU, FLUOROURACIL:23988873| 5-FU, FLUOROURACIL:16421754,15538739,11501504| tegafur:10071185;10803677;11156223;11350878;11555601;11895907;12209976;12360106;14635116;15017333;15132136;15591715;15944764;16115930;16151913;16361556;17000685;17064846;17121937;17165084;17203168;17417073;17700593;17848752;18299612;18443386;18452418;18537153;18600527;19473056;19530960;19795123;19858398;20385995;20665215;20714149;20819423;21077799;21498394;22490566;23585145;23603345;23930673;23942539;23988873;24037119;24817302;24923815;25410891;25677447;25796495;26099996;26216193;26265035;26603945;26794347;26804652;26846104;27122156;27454530;27864592;27995989;28295243;28929491;28950804;29134491;29846282;29889674;30114658;30723313;30858516;31382864;9323575;9439663;9470816| TEGAFUR:23988873| fluorouracil / salicylic acid:-| TEGAFUR:8521418| FLUOROURACIL:15330204| Pyrimidine analogues:10071185;10803677;11156223;11350878;11555601;11895907;12209976;12360106;14635116;15017333;15132136;15591715;16115930;16151913;16361556;17000685;17064846;17121937;17165084;17203168;17417073;17700593;17848752;18299612;18443386;18452418;18537153;18600527;19473056;19530960;19795123;19858398;20385995;20665215;20714149;20819423;21077799;21498394;22490566;23585145;23603345;23930673;23942539;24037119;24817302;24923815;25410891;25677447;25796495;26099996;26216193;26265035;26603945;26794347;26804652;26846104;27122156;27454530;27864592;27995989;28295243;28929491;28950804;29134491;29239269;29845393;29846282;29889674;30114658;30723313;30858516;31382864;9323575;9439663;9470816| CAPECITABINE:16279094| ADJUVANT:17179731,15446556,14519634| antineoplastic agents:21487324| CAPECITABINE:23988873| flucytosine:-
DPYS	atenolol:-| DEXRAZOXANE:7902252
DPYSL3	METHIMAZOLE:11694350
DRAM1	CISPLATIN:15940259
DRD1	drotrecogin alfa:22310353| bupropion:-| dextroamphetamine:23952191| nicotine:18092181| methylphenidate:23952191| haloperidol:27023437
